Sample,IlluminaSample,Species,Strain,Project,Description,AssemblyFocus
MTK01,S1,Verticillium nonalfalfae,MM786,Verticillium,pure culture,single
MTK02,S2,Verticillium nonalfalfae,S3,Verticillium,pure culture,single
MTK03,S3,Verticillium nonalfalfae,S26,Verticillium,pure culture,single
MTK04,S4,Verticillium nonalfalfae,Chile4,Verticillium,pure culture,single
MTK05,S5,Verticillium nonalfalfae,MD4,Verticillium,pure culture,single
MTK06,S6,Verticillium nonalfalfae,S13,Verticillium,pure culture,single
MTK07,S7,Verticillium nonalfalfae,S32,Verticillium,pure culture,single
MTK08,S8,Verticillium nonalfalfae,WVU,Verticillium,pure culture,single
MTK09,S9,Verticillium nonalfalfae,Sylvan,Verticillium,pure culture,single
KHP1,S1_L001,Verticillium sp.,Chile4,Verticillium,pure culture,single
KHP2,S2_L001,Verticillium sp.,Chile3,Verticillium,pure culture,single
KHP3,S3_L001,Verticillium sp.,S4,Verticillium,pure culture,single
